iso_code;country;year;GDLCODE;level;region;continent;shdi;healthindex;incindex;edindex;lifexp;gnic;esch;msch;pop
COL;Colombia;1990;COLr101;Subnat;Antioquia (incl Medellin);America;0,603;0,785;0,675;0,413;71,02;8,719078;8,63;5,2;4,092471
COL;Colombia;1990;COLr102;Subnat;Atlantico (incl Barranquilla);America;0,631;0,785;0,66;0,484;71,02;7,910401;9,89;6,28;2,315525
COL;Colombia;1990;COLr103;Subnat;Bogota D.C.;America;0,673;0,778;0,709;0,552;70,59;10,950703;10,54;7,78;4,715131
COL;Colombia;1990;COLr104;Subnat;Bolivar (Sur and Norte);America;0,587;0,724;0,623;0,449;67,06;6,169956;9,39;5,65;1,122177
COL;Colombia;1990;COLr105;Subnat;Boyaca;America;0,567;0,804;0,603;0,375;72,24;5,404022;8,7;4;1,556152
COL;Colombia;1990;COLr106;Subnat;Caldas;America;0,597;0,741;0,678;0,424;68,18;8,885751;9,17;5,07;1,027835
COL;Colombia;1990;COLr107;Subnat;Caqueta;America;0,565;0,775;0,601;0,388;70,36;5,344162;8,39;4,65;0,398081
COL;Colombia;1990;COLr108;Subnat;Cauca;America;0,554;0,768;0,602;0,368;69,89;5,39147;7,71;4,61;1,219168
COL;Colombia;1990;COLr109;Subnat;Cesar;America;0,548;0,762;0,606;0,357;69,53;5,536675;7,55;4,43;0,874901
COL;Colombia;1990;COLr110;Subnat;Cordoba;America;0,54;0,733;0,556;0,387;67,64;3,962469;9,11;4,03;1,372764
COL;Colombia;1990;COLr111;Subnat;Cundinamarca;America;0,57;0,807;0,644;0,356;72,45;7,084346;7,91;4,08;1,404211
COL;Colombia;1990;COLr112;Subnat;Choco;America;0,52;0,614;0,568;0,404;59,91;4,285627;9,23;4,44;0,377038
COL;Colombia;1990;COLr113;Subnat;Huila;America;0,593;0,778;0,657;0,407;70,6;7,741422;8,6;5,03;1,159252
COL;Colombia;1990;COLr114;Subnat;Guajira;America;0,56;0,776;0,56;0,405;70,41;4,081372;9,56;4,18;0,395576
COL;Colombia;1990;COLr115;Subnat;Magdalena;America;0,573;0,775;0,595;0,407;70,39;5,137922;8,66;4,99;1,189044
COL;Colombia;1990;COLr116;Subnat;Meta;America;0,659;0,83;0,707;0,488;73,98;10,788218;9,74;6,52;0,391272
